학수번호,교과목이름,학점,이수구분,학년,학기,설강학과,교과목개요,교육과정학과코드
CUL0068,미국문화의이해,,전공기초,1,,영미언어·문화학과,"본 강좌는 1학년 영어 전공자들에게 미국 문화의 전반적인 면을 살펴 봄으로써 미국에 대한 이해를 돕고, 더 나아가 문화를 이해함으로써 언어 학습에도 도움이 되도록 하는 데 그 목적이 있다. 본 강좌에서는 미국의 정치, 경제, 역사, 지리, 생활 방식 등에 대한 주제들을 강의 및 토론을 통하여 접근하며, 인터텟을 통한 영어 자료 찾기 및 읽기, 자신의 의견을 쓰고 발표하기 등을 통하여 학생들의 영어 능력 향상을 도모한다",
CUL0106,소프트웨어의이해,,교양필수,1,,ICT융합학부,"본 교과목에서는 소프트웨어 기술의 기본적인 개념들을 배우고, 간단한 프로그램 제작기법을 연습한다. 또한 4차산업혁명 관련 인공지능, IoT, 로봇공학, 제조혁신 관련 기술 혁신 사례들에 대하여 학습한다. - 소프트웨어 기술의 중요성과 필요성
- 동작원리 및 활용분야
- 소프트웨어 제작기술
- 소프트웨어 설계기술
- 간단한 프로그램 제작",
CUL0128,4차산업혁명의이해,,전공핵심,1,,로봇융합전공,4차 산업혁명은 요즘 주변에서 가장 많이 들을 수 있는 단어로 현재 이 시기를 정의하는 가장 중요한 키워드다. 하지만 이 말이 어떤 의미를 담고 있으며 4차 산업혁명이 우리를 어떻게 바꿔가고 있는지는 잘 알지 못하고 있다. 따라서 본 수업에서는 4차 산업혁명의 의미와 기반 기술 그리고 변화와 방향에 대해 알아보도록 한다.,
CUL1013,공학경제,,전공핵심,2,,산업경영공학과,"시스템, 제품 및 서비스의 가치를 이들의 원가와 관련해서, 평가하는데 필요한 개념과 기법을 제시해 준다. 이 강좌의 목적은 학생들에게 공업기술의 경제적 측면의 중요성을 인식케 하고 공업적 제안 (Engineering Proposals)의 경제성을 평가하는데 숙달되게 하는 것이다. 이에 관한 강좌의 내용은 경제성 공학의 기초개념, 화폐의 시간적 가치계산, 대체안의 경제성 분석, 화폐감가상각, 의사결정을 위한 비용추정 등이 있다.",
CUL1015,공학영어,3,전공기초,1,1,컴퓨터학부,"소프트웨어를 공부하는 학생에게 영어로 읽고 듣고 말하고 쓰는 능력은 매우 중요하다. 현재 소프트웨어 분야는 매우
빠른 속도로 발전하고 있고, 해당 분야의 최신 자료와 깊이가 있는 대부분 영어로 공유되고 있다. 물론 한국어로된 자
료도 있지만 대체적으로 기초적인 수준의 정보나 옛날 기술과 관련된 정보로 그 정보량이 영어에 비교하면 상당히 빈
약하다. 본 수업에서 학생들은 먼저 영어로된 자료를 습득하는 방법을 배울 것이다. 이후 읽기와 듣기를 통해 영어로
된 자료를 학습하고 학습한 내용을 보고서로 정리하고 발표한다.",
CUL1032,현대음악의이해,3,교양선택,1,1,ERICA 대학,"이 수업은 20세기부터 21세기 초반의 현대음악을 아우르는 수업으로, 음악의 다양한 어법과 양식의 특성, 그것이 탄생하게 된 역사, 문화, 미학적 맥락을 함께 이해한다. 중간고사 이전에는 20세기 초반의 유럽, 미국의 모더니즘 음악을 전반적으로 살펴볼 것이며, 중간고사 이후에는 2차 세계대전 이후 테크놀로지 시대의 다양한 음악적 시도들, 포스트모던 양상 등을 대표적인 작곡가의 작품을 통해 감상하고 이해한다.",
CUL1209,기술전략과R&D기획,,교양선택,4,,ERICA 대학,"이 과목은 기술 기반 기업(대기업, 중소기업, 스타트업 등) 또는 각종 연구개발 관련기관(출연연, 대학, 연구개발 전문 서비스 기업)에서 기술전략을 도출하고 연구개발 계획을 수립하는 전반적인 과정을 개괄적으로 소개한다. 기술전략은 기업(또는 기타 연구개발기관)의 지속적인 경쟁우위 유지를 위해 필요한 기술을 식별하고 획득/개발하는 상위수준의 의사결정이다. 본 과목에서는 기술전략의 필요성과 프로세스를 소개한 후 기술전략 수립을 위해 필요한 미래기술예측, 외부환경분석, 산업과 시장분석, 기업역량 분석, 전략도출 방법론 등을 소개한다. R&D 기획은 기술전략을 구체적으로 뒷받침하는 실행계획에 해당한다. 수강생은 R&D과제의 전반적인 구성과 기획방법을 실무적 사례를 중심으로 학
습한다. 이 과목은 기업 또는 기관에서 기술전략과 R&D 기획의 초급실무자가 필요로 하는 역량개발에 중점을 두었다. 따라서, 이 과목에서는 현장에서 많이 쓰이는 방법/도구를 중심으로 내용을 선별하였고, 현장모사형 실습과 프로젝트를 수강생들이 직접 수행함으로써 경험기반의 학습이 이루어지도록 하였다.",
CUL2015,교양타악실기,3,교양선택,1,1,ERICA 대학,"1.한국 전통 음악에 활용되는 다양한 장단의 패턴을 파악하고 특징을 이해하며 장단을 익힌다.
2.호흡을 동반한 신체 움직임으로 전통 악기인 장구 장단을 연주하는 바른 자세를 터득하며 우리 전통 장단에 담긴 흥과 멋을 음미할 수 있는 시간을 갖는다.",
CUL2042,법의이해,3,교양선택,1,1,ERICA 대학,본 강좌는 일상생활과 관련된 최소한의 법률지식을 비법대생이 이해하기 쉽게 전달하는 것을 목적으로 한다.그리고 손쉽게 권리보호를 받을 수 있는 각종의 방법을 소개해줌으로써 법률문제를 적극적으로 해결할 수 있도록 하고자 한다.,
CUL2063,생활속의물리학,3,교양선택,1,1,ERICA 대학,"우리 주변에서 일어나는 여러 현상들을 물리적인 개념을 통해 이해한다. 그 예로는 자연 현상에서 발견하는 물리적인 원리, 가정에서 쓰고 있는 각종 장치들의 물리적인 원리, 스포츠에 나타나는 물리적인 현상, 생물들이 이용하고 있는 물리적인 원리, 첨단군사기술에 이용되고 있는 물리, 통신 및 기타 첨단기술에 응용되고 있는 물리 등이 포함된다. ",
CUL2076,지구의역사,3,교양선택,1,1,ERICA 대학,"지구는 태양계 행성의 하나로 암권, 수권, 기권 및 생물권으로 구성되며 이들 상호간에 밀접한 연관 관계를 가지고 지구의 생성 이래 계속 자연적으로 변화되어왔다. 지구의 생성 과정, 지구 내부의 구조 및 구성 물질, 광물과 암석의 생성 과정 및 분류, 판구조론을 통한 지각의 형성 및 변형, 지표의 변화 과정, 지질시대 구분 등이 개괄적으로 포함된다. 상기한 지구의 구성 요소 내용을 숙지하고, 상호간의 작용을 총괄적으로 이해함을 목표로 한다. ",
CUL2100,아카데믹글쓰기,2,교양필수,1,2,300,,304
CUL2101,인공지능과미래사회,,교양필수,1,,화학분자공학과,"파이썬 언어는 IT 실무 현장에서 가장 많이 사용 되는 언어 중의 하나 이며 인공지능 알고리즘을 개발하기에 적합한 언어이다.
본 과목에서는 이러한 파이썬 언어의 기본적인 문법과 여러가지 기능들을 배우며 다양한 학습을 통해서 실제 문제를 해결하는 방법을 익히게 될 것이다
코딩하는 과정을 통하여 문제를 해결하기 위한 논리적 사고방법과 창의력을 사고력을 증진 시킨다. 마지막으로 다양한 실습 예제 들을 통하여 인공지능의 기본적인 개념과 원리를 이해한다.",
CUL2102,4차산업혁명과데이터사이언스,,교양필수,1,,정보사회미디어학과,"본 교과목에서는 현실에 존재하는 방대한 양의 데이터에서 우리에게 필요한 데이터만 효율적으로 수집하고 가공, 분석 및 시각화하는 능력을 키우는 것을 목표로 한다. 이를 위하여 파이썬 프로그래밍 언어를 이용하여 인터넷으로부터 데이터를 크롤링하는 방법, 이를 이용하여 필요한 데이터를 찾는 방법, 그리고 적절한 그래프로 표현하는 방법을 학습한다.",
CUL3001,수화실기,3,교양선택,1,1,ERICA 대학,"
대한민국 공용어인 한국수화(수어)를 이론과 실습을 통해 배우며, 농인의 생활과 문화를 이해하고 농인을 만났을 때
수어로 대화할 수 있는 기반을 다진다.",
CUL3016,교양댄스스포츠,3,교양선택,1,1,ERICA 대학,"댄스스포츠는 본래 민속무용, 궁중무용, 올드 타임 댄스, 볼룸 댄스라는 단어가 변화되어 사용된 것이고, 중세의 사교를 목적으로 한 댄스가 성행하게 되면서부터 그 실체와 내용이 현재와 같은 형태로 규정된 예술체계를 말합니다.  댄스스포츠 수업을 통해 예의와 질서로 이루어진 도덕적 가치를 배울 수 있으며, 새로운 파트너와 함께 호흡해야하기 때문에 대인관계능력 또한 기를 수 있습니다. 댄스스포츠를 통해 활발한 신체활동과 미적표현의 감각을 체험하며 이로 인해 신체적, 정신적인 건강과 함께 풍부한 예술성을 습득하고 특히, 음악에 맞춰 댄스스포츠를 수행함으로써, 자신의 감정을 신체로 표현하는 방법을 배울 수 있습니다. ",
CUL3019,교양골프,3,교양선택,1,1,ERICA 대학,"생활속의 스포츠로 자리매김하고 있는 골프는 누구나 즐길 수 있으며, 과학적이고 체계적으로 골프 전반에 대한 기초 이론 및 실습을 익히고 생활스포츠로 즐길 수 있는 제반기술을 함양하는데 교육목표를 두고 있다.",
CUL3041,회계정보의활용,3,교양선택,1,1,ERICA 대학,"￭ 과제는 정해진 기한에 제출시 점수에 반영합니다. (정해진 기한에 제출하지 않을 경우 감점이 아닌 '0'점으로 평가됩니다.)
￭ 총점 35점 미만인 경우 'F'학점으로 평가 됩니다. 
￭ 중간고사 혹은 기말고사 미응시시 'F'학점으로 평가됩니다.
￭ 1주 1차시 수업 즉 OT수업도 출석에 반영 되며, 한 학기 강의 진행과 관련된 중요한 내용들이 공지됩니다. 관련 내용은 해당일에만 공지되며 추후 개별적으로 공지하지 않습니다. 
￭ 공결신청서는 결석 이후 1주일 이내에 수업계획서(강의계획서)에 제시된 이메일로 제출해야 공결에 반영됩니다. 만일, 다른 이메일로 제출하거나 1주일이 경과하여 제출한 경우는 공결처리가 되지 않습니다. 
￭ 교재에 관한 설명은 1주차 수업 시간에 명확한 설명이 이루어질 예정입니다. 교재는 그 이후에 구입하세요. 
￭ 수업 시간 중 노트북 사용은 키보드 소음으로 인해 사용이 불가합니다. 태블릿의 경우 펜을 사용하는 경우에는 사용 가능합니다. 다만, 태블릿도 키보드 사용은 불가합니다. 


￭ 강의방법 
- PPT, 보조자료 등을 활용한 강의 진행합니다.
- 교재에 기초하여 개념설명 및 대표적 예제풀이 진행합니다. 
- 수업 중 질의응답을 통한 의사소통합니다. 
- 신문 및 인터넷을 활용한 회계관련 시사점을 토론합니다.",
CUL4081,교양구급법,3,교양선택,1,1,ERICA 대학,"응급처치의 목적 및 필요성, 응급상황시 행동요령, 심폐소생술, 자동심장충격기, 이물질에 의한 기도폐쇄, 상처, 드레싱과 붕대, 중독, 고온과 저온에 의한 신체손상 등 일상생활에서 발생 할 수 있는 응급상황에 대해 대처 할 수 있는 방법에 대해 알아본다.",
CUL5031,교양축구,3,교양선택,1,1,ERICA 대학,"본 교과목은 매주 필드에서 직접 축구를 배우며 신체적 능력과 축구 기술에 대한 이해도를 높이고, 축구에 대한 이론과 실기를 명확하게 이해하여 전문 지도자로서의 요건을 함양하는데 있다.",
CUL5034,교양테니스,3,교양선택,1,1,ERICA 대학, 본 강의는 생활체육으로써 널리 자리 잡고 있는 테니스에 대해 더 정확한 자세와 경기 방법 그리고 예절과 실전에 필요한 전술 등을 교수하여 바람직한 여가선용의 활용과 건강한 삶의 밑거름이 되고자 하는데 그 의의가 있다. 또한 실기수업 위주로 레벨테스트를 통한 수준별 수업으로 그룹별 목표를 정한 뒤 꾸준한 레슨과 연습으로 테니스의 기초실력 배양을 기대할 수 있다. ,
CUL5036,교양배드민턴,3,교양선택,1,1,ERICA 대학,"
 배드민턴은 네트를 가운데 두고 신체적 접촉 없이 행하는 스포츠 종목으로서 신사적인 인간성 함양과 언제 어디서나 누구나 즐길수 있는 스포츠다.																				
",
CUL5064,디자인과생활,3,교양선택,1,1,ERICA 대학,"디자인의 중요성이 부각되고 있는 사회 환경 속에서 다양한 디자인의 사례를 연구하고 생활 속 디자인의 중요성을 이해하며, 현대의 디자인에 대한 비판과 통찰력을 길러 미래 디자인의 전망에 대해 재조명 할 수 있는 능력을 배양한다.
",
CUL5066,고전음악의이해,3,교양선택,1,1,ERICA 대학,"교양, 인문학적 맥락에서 클래식 음악의 다양한 관심사를 여덟 가지 주제(자연, 종교, 사랑, 사회, 죽음, 철학, 민족, 지성)와 연계하여 살펴보는 수업으로 인간 삶의 경험과 사고가 음악에 창의적으로 표현되는 방식을 이해한다. 매주 수업은 고전 음악을 주제별로 접근하면서 동시에 역사와 사회, 문화, 예술적 관점으로 검토하여 음악을 폭넓게 탐구하고 분석, 해석하는 방식으로 진행한다. ",
CUL7049,기업가정신과리더십,3,교양선택,1,1,ERICA 대학, 본 과목은 미래리더로서 갖추어야 할 기업가 정신과 조직리더로서 성장하기 위해 필요한 리더십 역량을 이해하고 리더십 스킬을 개발하기 위한 수업입니다.,
CUL7053,창업과지적재산권,3,교양선택,1,1,ERICA 대학,"-창업 전후 과정에서는 많은 지적재산권 분쟁이 발생하고 있으며, 창업자는 자신이 창출한 지척재산에 대해 지적재산권을 획득하고 침해시 구제받기 위해서 필수적인 지적재산법률을 학습하고, 민상법상의 계약과 회사에 대해 학습한다.
-본 강좌에서는 창업 과정에서 발생하는 여러 법률 문제를 지적재산권과 계약을 중심으로 다양한 사례를 통해 학습한다.
",
CUL7055,창업아이디어개발,3,교양선택,1,1,ERICA 대학," 이 교과목은 창업을 꿈꾸는 학생이나 일반학생이 실제 생활에서 직면하는 다양한 문제로 부터  창업 아이디어를 개발할 수 있는 역량을 함양하는데 목적이 있다. 이를 위해 고객의 관점에서 문제를 정의하고 문제해결책을 고안해 내는 과정에 필요한 기업과 시장의 변화요인 및 고객의 트랜드를 이해하여 보다 구체적이고 실현가능한 창업 아이디어를 창출하는 창의적 사고역량을 훈련한다,  고객 문제해결 관점을 중심으로 다양한 아이디어 창출 방법을 학습하고, 이를 적용하는 실습을 통해 자신의 구체적이고 실현가능한 창업 아이디어를 개발하고자 한다. ",
CUL7069,기계비평,3,교양선택,1,1,ERICA 대학,"우리는 기계를 사용하는 것이 아니라 기계 속에 살고 있다. 기계는 단순도구가 아니라 인간의 신체에 육박하는 인공보철물로서 작동하며, 인간의 의식과 인성을 근본적인 차원에서부터 바꾸고 있다. 여기서 내가 태어나기 전부터 기계는 있었다는 이른바 기계의 선험성이 성립한다. 이런 의미에서 기계들을 고찰하고 비판하는 작업은 시?공간을 성찰하는 작업과 다른 것이 아니다. 그동안 기계를 오로지 그 즉각적인 사용가치를 검토하는 방향(오류와 효용성 점검)으로만 비판했다면 이 강의에서는 기계를 사용하면서 변경된 우리의 실제 삶과 의식을 성찰하는 훈련을 꾀한다. 이 강좌에서는 각기 버스, 기차, 유조선, 사진기, 라디오, 복사기, 인터넷, CCTV, 항공모함, 미사일 등의 기계들을 치밀하게 분석해 본다. 이를 위해 이들 기계에 대한 전문적인 비평을 쓰거나 혹은 강의경험이 있는 특별강사들의 강의를 듣는다. 또한 ‘기계비평’이란 개념을 이해하고 훈련하기 위한 예비코스로서 미디어이론(기술공학)과 디자인론(디자인), 현상학개론(철학)을 책임강사로부터 배운다. ",
CUL7071,글로벌마케팅조사와창업기회,3,교양선택,1,1,ERICA 대학,"글로벌 커머스 창업에 대한 이해와 국내 및 글로벌 마케팅 실전 경험을 통해 자체 개발 아이템 또는 소싱 아이템을 활용한 실전 창업 경험으로 기업가정신 함양 및 성공 창업가로 성장 할 수 있는 기반 마련
   ① 글로벌 창업교육 : 글로벌 마켓의 이해, 상품소싱, 개발 및 시장분석 기법
   ② 글로벌 및 국내 마켓 상품등록 및 온라인 마케팅 : 아마존, 이베이, 쇼피, 스마트스토어, 구매대행
   ③ 상품판매(매출발생) 및 데이터분석 진행
   ④ 정부지원사업을 통한 창업 도전 노하우",
CUL7072,10만원창업프로젝트,3,교양선택,1,1,ERICA 대학,"창업가는 창업 활동의 주체로서 준비부터 창업까지 전 과정에서 주도적인 역할을 하게 됩니다. 시장 정보와 산업 현장경험이 부족한 대학생 등 젊은 창업 지망자들에게는 자신 주변에서 경험하는 아이디어를 중심으로 비즈니스 모델을
찾고 철저한 사업계획을 통해 창업을 준비하는 것이 바람직한 방법 중 하나입니다. 10만원창업프로젝트는 창업에 관심을 갖고 있는 일반 학생들이 자신의 경험과 지식을 바탕으로 자기 주변에서 아이디어를 발굴하고, 아이디어를 창업
아이템으로 발전시키고 사업화하는 과정을 프로젝트 실행을 통해 학습하는 교과목입니다.
주변 사람들의 문제나 불편함을 해결하는 솔루션에 대한 아이디어를 고안하고 아이디어를 바탕으로 솔루션을 실현함으로써 수익을 창출하는 프로젝트를 진행합니다. 학습 목표에 적합하도록 식음료 및 기성품 등을 판매하는 프로젝트
아이템은 제외합니다. 프로젝트는 자신과 팀 구성원의 능력으로 한학기 동안 만들어 낼 수 있는 수준과 범위에 적절한 아이템을 선정하고 제한된 예산과 기간에 진행할 수 있어야 합니다. 팀 구성 인원은 5명이하로 구성할 수 있어 혼자서
진행하는 것도 가능합니다. 제한된 조건에서 아이디어를 통해 수익을 실현하는 프로젝트를 실행함으로써 빠르게 변화 하는 고객과 시장을 이해하고 시장에 적합한 솔루션을 찾아 낼 수 있는 창업 학습 능력 함양이 수업의 목표입니다.
평가는 아이디어에 연관된 문제의 정의, 솔루션 실현, 고객을 발굴하고 사업 실행 계획 수립, 실행 및 보완 단계별 과정을 통해 진행됩니다. 수강 학생의 효과적인 학습을 위하여 프로젝트 과정에 소요되는 비용은 4명팀 기준으로 10만
원 범위에서 실비로 지원되고 수업 평가 방식은 절대평가입니다.",
CUL7078,기업분석과취창업전략,3,교양선택,1,1,ERICA 대학,"[고학년 중심 맞춤형 취업실전연습 및 준비]

사회진출을 앞둔 학생들의 진출업종과 지원기업 선택, 입사지원에 이르는 취업준비 全 과정에서 산업계와 기업현장에 대한 이해와 분석능력은 그 중요성과 비중이 날로 커지고 있습니다. 

본 교과목은 산업동향과 기업분석을 기반으로 고학년 학생들의 취업경쟁력 향상을 지원하는 수업입니다. 

",
CUL7080,스타트업초청강연,3,교양선택,1,1,ERICA 대학,"본 교과목은 창업마인드 함양을 위해 창업사례와 창업에 대한 필요지식 및 기초 정보를 전달함과 아울러 현장 중심의 실전적 정보교육을 수행하여 미래 예비 CEO로서 갖추어야 할 기본 소양 등을 학습토록 한다. 특히, 비즈니스를 시작하기 위한 마음가짐, 인간관계 구축, 사업기회발견과 사업모델링, 사업타당성 분석과 사업계획 시뮬레이션 등의 사항을  학습함으로써, 성공적 기업의 벤치마킹 요소들을 습득하도록 한다.",
CUL7082,창업경영시뮬레이션,3,교양선택,1,1,ERICA 대학,"학습자들이 팀을 이루어 기업 현실과 유사한 상황에서 가상 기업을 경영하는 경영자의 역할을 수행하면서 자연스럽게 경영의 큰 흐름을 이해하고, 경영관리 및 성과창출, 경영 의사결정 능력을 향상하는 체험 기반의 문제해결형 경영 시뮬레이션 교육""																				
Business simulation is an team-based learning course where participants learn corporate management by running a virtual business in an realistic environment. Business simulations game help practice and improve business skills, such as business operations, market analysis, performance delivery, decision making, problem solving, teamwork, communication and leadership. 
",
CUL7083,4차산업혁명과고전읽기,3,교양선택,1,1,ERICA 대학,"본 강좌는 고전 읽기, 자기계발을 융합하여 수강생들의 사회생활에 실체적인 도움을 주는 것을 목표로 한다. 

이 목표에 따라 강좌의 전반부에서는 고전독서를 활용한 스토리텔링, 스토리텔링 홍보, 고전을 통한 자기계발에 중점을 두고, 후반부에서는 고전독서를 통한 자기브랜드화, 지식편집력, 효과적인 커뮤니케이션의 방법론 등을 수업한다.  

본 강좌를 수강하는 학생들은 다양한 분야에서의 고전을 스스로 찾고, 스토리텔링을 통한 효과적인 자기브랜드화를 통해 향후 사회적 성취에 대한 자신감을 가지게 될 것이다. 

본 수업을 통해 수강생들은 단순히 고전을 읽고 해석하는 것에 그치는 않고, 현대인의 상상력에 부합하는 해설과정을 경험하게 되며, 이러한 과정에서 다양한 전공의 학생들과 문화를 상호 교류할 수 있는 소통역량, 내용분석역량, 미래를 주도적으로 기획할 수 있는 역량을 키울 수 있을 것이다. 

본 수업에서 진행될 고전독서 활용법을 통해 가장 강력하고도 효과적인 퍼스널 브랜딩의 방법론을 배우게 될 것이다. ",
CUL7093,보이스앙상블,3,교양선택,1,1,ERICA 대학,"스마트시대를 살고있는 온라인위주의 소통형식에서 벗어나 직접 모여서 연습하고
실험하는 오프라인 형식에 목소리, 음색을 구성하는 일련의 성부의 집합을 나타내는
보이스[voice]를 결합하여 본 강좌를 통해 전공자와 비전공자가 함께 쉽고 재미있게
보컬의 기본적 기술을 훈련하여 가요, 가곡, 뮤지컬곡 등 다양한 장르의 음악을 익혀
공연발표로 실연 평가한다.",
CUL7095,스무살의행복한나의인생디자인,3,교양선택,1,1,ERICA 대학,"이 과정을 통해 학생들은 성공적인 대학생활 위한 명확한 인생의 비전을 정립하고, 그 비전을 이루기 위한 구체적인 청사진을 그려 볼 수 있다.
또한, 자신의 가치를 기반으로 명확한 진로의 이해와 사회진출의 올바른 방향성을 가지며 성공보다 성장을 위한 대학생활에 필요한 필수역량을 기를 수 있도록 한다.
본 과정은 4차 산업혁명에서의 지식사회와 산업현장에서 요구되는 필수역량에 대한 학습을 습득하여 실제 생활에 효과적으로 적용할 수 있도록 돕는다.",
CUL7097,동양의눈으로본문명교류사,3,교양선택,1,1,ERICA 대학,"인류는 고대부터 지금에 이르기 까지 다양한 문화와 문명을 형성해 왔다. 이들 문화・문명은 각 지역의 특성을 반영하며 독자적으로 발전하면서 한편으로는 끊임없이 다른 문화・문명과 영향을 주고받으며 발전해 왔다. 이에 본 강좌에서는 동양과 서양의 문화・문명은 어떻게 만나, 어떤 영향을 미쳤는지 각 지역의 문화・문명의 관계와 교류 양상을 역사적으로 살펴보고, 이를 통해 21세기 인류가 나아가야 할 문화・문명의 방향을 생각해 보는 기회를 갖고자 한다.",
CUL7099,사랑의역사:사랑에관한철학적성찰,3,교양선택,1,1,ERICA 대학,"본 교과목은 사랑을 개인적 영역이 아니라, 사회 구조의 산물로 보는 관점에 서 있다. 사랑을 각 사회의 일상과 정치, 문화를 드러내는 핵심 키워드로 보고, 그리스에서 현대까지의 ‘사랑’의 역사를 탐구하고자 한다. 시대마다 변화되어 온 사랑의 형식과 의미를 이해하며, 사회 속의 ‘나’를 성찰하는 것을 목적으로 한다. 강의는 이론과 토론으로 진행된다. 이론에서는 그리스, 중세, 근세, 현대에 나타나는 ‘사랑’의 모습을 살펴보고 시대마다 변화되어 온 사랑의 형식과 의미를 이해한다. 토론에서는 강의에서 배운 내용을 바탕으로 우리 세대 사랑의 쟁점에 대해 생각을 나누면서 대학생으로서 가져야 할 삶의 태도와 사랑관을 정립한다.

1. 이 수업은 [이론+실습 ]수업으로 1강-9강까지 실시간 화상 강의로 진행하고, 10강 -13강까지의 토론 수업은  대면수업 (코로나 상황 정부 방침에 따라 유동적입니다. 가령, 코로나 1,2 단계시 대면수업/3단계시 화상 토론) 으로 진행됩니다. 14강-15강은 이론강의입니다. 

2. 코로나 정부 방침에 따라 수업 방식이 달라질 수 있습니다. 기존의 방침에 따르면, 코로나 1-2단계일 경우에는 이론은 실시간 화상 강의로, 토론과 중간 시험은 대면으로 진행합니다. 
3. 코로나 정부 방침에 따라 수업 방식이 달라질 수 있습니다. 기존 방침에 따르면 , 코로나 2.5단계일 경우 이론과 토론 모두 실시간 화상 강의로 진행합니다. 중간과 기말은 대면 평가 대신 report 제출로 합니다.
4. 역량기반 교양 선택 교과목입니다. 이를 반영한 강의계획서는 파일로 첨부합니다. 첨부 파일을 꼭 확인 바랍니다.",
CUL7124,Ai리터러시,2,교양필수,1,1,300,,304
CUL7125,Esg와Sdgs이해,2,교양필수,1,1,300,,304
CUL7126,LIONS융합특강,2,교양필수,1,1,LIONS자율전공학부(전계열),,
CUL7127,수학적사고와인공지능,2,교양필수,1,2,배터리소재화학공학과,,
CUL7128,오픈소스개발과활용,3,교양필수,1,2,차세대반도체융합공학부,,
CUL7129,인공지능기초탐색,2,교양필수,1,1,배터리소재화학공학과,,
CUL7131,창의적프로그래밍기초와실습,,교양필수,1,,국방전략기술공학과,"본 교과목에서는 인공지능 기술응용에 필요한 핵심기반 기술교육과 Phthon언어, Numpy, Pandas, Matplotlip, Tensorflow, Keras, Pytorch programming을 학습한다. 이를 통해 인공지능을 활용하기 위한 코딩 실습 교육을 진행하여 인공지능에 대한 이해도를 높일 수 있다. 더 나아가 머신러닝/딥러닝과 같은 인공지능 분야에 활용할 수 있도록 한다.",
CUL7132,파이썬과인공지능,3,교양필수,1,1,LIONS자율전공학부(전계열),,
CUL7133,파이썬과인공지능,3,교양필수,1,1,300,,304
CUL7135,파이썬과데이터분석,3,교양필수,1,2,경영학부,,
CYB9001,사이버토익,3,교양선택,1,1,ERICA 대학,"사이버토익(Cyber TOEIC)은 국제화와 세계화를 지향하는 시대의 요구에 부응하는 실질적인 영어능력의 향상을 위하여, 온라인을 통한 학생들의 자율적 영어학습의 효과를 극대화시켜 토익시험에 대비시키는 새로운 유형의 강좌이다. 본 강좌는 오프라인 및 온라인 모의시험을 통해 수강학생의 능력과 수준을 진단평가하고, 온라인상에서 개개인의 수준별 학습을 통해 청취능력과 문법지식의 기반을 다지는 동시에, 취약파트 학습, 취약유형 학습 및 레벨업 학습 등을 반복적으로 시행함으로써 토익 시험의 실전에 대비하게 하며, 더 나아가 전반적인 영어 능력을 향상시키는 데에 그 목적이 있다.",
DAI1001,오픈소스실전인공지능,3,전공핵심,1,2,인공지능학과,,
DAI1002,인공지능코딩,3,전공기초,1,1,인공지능학과,"""인공지능코딩""은 대학 1학년 학생들에게 인공지능 개발에 많이 사용되는 파이썬 코딩의 기초를 공부합니다.
연습문제 풀이와 과제를 통해 향후 전공교과목에서 인공지능 모델의 구현과 응용 프로그래밍을 위한 실용적
코딩능력 향상의 기초를 다지고자 합니다.

파이썬을 포함하여 코딩을 처음 접하는 인공지능학과 및 LIONS칼리지 1학년 학생을 대상으로 합니다.",
DAI2001,텐서프로그래밍,,전공핵심,2,,지능형로봇학과,"본 교과목에서는 AI 기술응용에 필요한 핵심기반 기술교육과 Numpy, Tensorflow programming을 학습한다. 이를
통해 인공지능을 활용하기 위한 코딩 실습 교육을 진행하고, 더 나아가 머신러닝/딥러닝과 같은 인공지능 분야에 활용
할 수 있도록 한다.",
DAI2003,글로벌SW창업디자인1,,전공핵심,2,,인공지능학과,"본 과목은 공대생을 대상으로 실제 미국 실리콘밸리에서 창업, 투자유치, Exit 의 경험이 있고 또 세번째 창업을 통해 실제 필드에서 뛰고 있는 동문이 실제 대면 강의를 통해 진행된다.
요즘, 대학생들이 창업을 많이 하지만, 제대로 된 교육없이 무모한 도전을 하기 보다, 체계적인 프로세스를 배우고 실제 필드에서의 경험을 토대로 한 강의를 통하여 실제 창업을 위한 준비를 할 수 있도록 한다.",
DAI2004,인공지능실습,,전공핵심,2,,인공지능학과,"인공지능(AI)의 기본 개념부터 최신 기술까지 폭넓게 다루며, 이론과 실습을 병행하여 실제 머신러닝을 통한 인공지능 시스템 구현 능력을 기르는 것을 목표로 합니다. 본 교과목은 이 같은 목표를 극대화하기 위해서 프로젝트 기반의 학습 방식을 채택합니다. 문제 해결을 위해 인공지능 시스템을 구현하는 일은 이론적 배경과 심무적 경험을 필요로 합니다. 본 교과목에서는 인공지능의 중요한 부분 중 하나인 이미지 처리와 관련하여 이론적 배경을 다지기 위해 다음 내용을 학습하며, 이후 이를 응용하여 프로젝트를 진행합니다. 1. 인공지능의 역사와 발전 과정
2. 머신러닝 개요 및 기본 원리
3. 인공신경망의 구조와 작동 방식
4. 선형회귀와 로지스틱 회귀 모델
5. 합성곱 신경망(CNN)의 이해
6. YOLO(You Only Look Once) 알고리즘",
